Symbol,Security,GICS Sector,Location,CIK
MMM,3M Company,Industrials,"St. Paul, Minnesota",66740
ABT,Abbott Laboratories,Health Care,"North Chicago, Illinois",1800
ABBV,AbbVie Inc.,Health Care,"North Chicago, Illinois",1551152
ABMD,ABIOMED Inc,Health Care,"Danvers, Massachusetts",1467373
ACN,Accenture plc,Information Technology,"Dublin, Ireland",718877
ATVI,Activision Blizzard,Communication Services,"Santa Monica, California",1144215
ADBE,Adobe Systems Inc,Information Technology,"San Jose, California",796343
AMD,Advanced Micro Devices Inc,Information Technology,"Sunnyvale, California",1158449
AAP,Advance Auto Parts,Consumer Discretionary,"Roanoke, Virginia",874761
AES,AES Corp,Utilities,"Arlington, Virginia",1122304
AET,Aetna Inc,Health Care,"Hartford, Connecticut",1004434
AMG,Affiliated Managers Group Inc,Financials,"Beverly, Massachusetts",4977
AFL,AFLAC Inc,Financials,"Columbus, Georgia",1090872
A,Agilent Technologies Inc,Health Care,"Santa Clara, California",2969
APD,Air Products & Chemicals Inc,Materials,"Allentown, Pennsylvania",1086222
AKAM,Akamai Technologies Inc,Information Technology,"Cambridge, Massachusetts",766421
ALK,Alaska Air Group Inc,Industrials,"Seattle, Washington",915913
ALB,Albemarle Corp,Materials,"Baton Rouge, Louisiana",899866
ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",1579241
ALXN,Alexion Pharmaceuticals,Health Care,"Cheshire, Connecticut",884629
ALGN,Align Technology,Health Care,"San Jose, California",1101215
ALLE,Allegion,Industrials,"Dublin, Ireland",352541
AGN,"Allergan, Plc",Health Care,"Dublin, Ireland",899051
ADS,Alliance Data Systems,Information Technology,"Plano, Texas",1652044
LNT,Alliant Energy Corp,Utilities,"Madison, Wisconsin",1652044
ALL,Allstate Corp,Financials,"Northfield Township, Illinois",764180
GOOGL,Alphabet Inc Class A,Communication Services,"Mountain View, California",1018724
GOOG,Alphabet Inc Class C,Communication Services,"Mountain View, California",1002910
MO,Altria Group Inc,Consumer Staples,"Richmond, Virginia",6201
AMZN,Amazon.com Inc.,Consumer Discretionary,"Seattle, Washington",4904
AEE,Ameren Corp,Utilities,"St. Louis, Missouri",4962
AAL,American Airlines Group,Industrials,"Fort Worth, Texas",5272
AEP,American Electric Power,Utilities,"Columbus, Ohio",1053507
AXP,American Express Co,Financials,"New York, New York",1410636
AIG,"American International Group, Inc.",Financials,"New York, New York",820027
AMT,American Tower Corp.,Real Estate,"Boston, Massachusetts",1140859
AWK,American Water Works Company Inc,Utilities,"Voorhees, New Jersey",1037868
AMP,Ameriprise Financial,Financials,"Minneapolis, Minnesota",318154
ABC,AmerisourceBergen Corp,Health Care,"Chesterbrook, Pennsylvania",820313
AME,AMETEK Inc.,Industrials,"Berwyn, Pennsylvania",773910
AMGN,Amgen Inc.,Health Care,"Thousand Oaks, California",6281
APH,Amphenol Corp,Information Technology,"Wallingford, Connecticut",1156039
APC,Anadarko Petroleum Corp,Energy,"The Woodlands, Texas",315293
ADI,"Analog Devices, Inc.",Information Technology,"Norwood, Massachusetts",6769
ANSS,ANSYS,Information Technology,"Canonsburg, Pennsylvania",922864
ANTM,Anthem Inc.,Health Care,"Indianapolis, Indiana",320193
AON,Aon plc,Financials,London,6951
AOS,A.O. Smith,Industrials,"Milwaukee, Wisconsin",7084
APA,Apache Corporation,Energy,"Houston, Texas",4281
AIV,Apartment Investment & Management,Real Estate,"Denver, Colorado",354190
AAPL,Apple Inc.,Information Technology,"Cupertino, California",1267238
AMAT,Applied Materials Inc.,Information Technology,"Santa Clara, California",732717
APTV,Aptiv Plc,Consumer Discretionary,"Gillingham, Kent",769397
ADM,Archer-Daniels-Midland Co,Consumer Staples,"Decatur, Illinois",8670
ARNC,Arconic Inc.,Industrials,"New York, New York",350698
ANET,Arista Networks,Information Technology,"Santa Clara, California",866787
AJG,Arthur J. Gallagher & Co.,Financials,"Itasca, Illinois",915912
AIZ,Assurant,Financials,"New York, New York",8818
T,AT&T Inc.,Communication Services,"Dallas, Texas",808362
ADSK,Autodesk Inc.,Information Technology,"San Rafael, California",9389
ADP,Automatic Data Processing,Information Technology,"Roseland, New Jersey",70858
AZO,AutoZone Inc,Consumer Discretionary,"Memphis, Tennessee",9892
AVB,"AvalonBay Communities, Inc.",Real Estate,"Arlington, Virginia",10456
AVY,Avery Dennison Corp,Materials,"Glendale, California",92230
BHGE,"Baker Hughes, a GE Company",Energy,"Houston, Texas",10795
BLL,Ball Corp,Materials,"Broomfield, Colorado",886158
BAC,Bank of America Corp,Financials,"Charlotte, North Carolina",1067983
BK,The Bank of New York Mellon Corp.,Financials,"New York, New York",764478
BAX,Baxter International Inc.,Health Care,"Deerfield, Illinois",875045
BBT,BB&T Corporation,Financials,"Winston-Salem, North Carolina",1364742
BDX,Becton Dickinson,Health Care,"Franklin Lakes, New Jersey",12659
BRK-B,Berkshire Hathaway,Financials,"Omaha, Nebraska",12927
BBY,Best Buy Co. Inc.,Consumer Discretionary,"Richfield, Minnesota",908255
BIIB,Biogen Inc.,Health Care,"Weston, Massachusetts",1037540
BLK,BlackRock,Financials,"New York, New York",885725
HRB,Block H&R,Consumer Discretionary,"Kansas City, Missouri",14272
BA,Boeing Company,Industrials,"Chicago, Illinois",1441634
BKNG,Booking Holdings Inc,Consumer Discretionary,"Norwalk, Connecticut",14693
BWA,BorgWarner,Consumer Discretionary,"Auburn Hills, Michigan",1043277
BXP,Boston Properties,Real Estate,"Boston, Massachusetts",356028
BSX,Boston Scientific,Health Care,"Marlborough, Massachusetts",858470
BHF,Brighthouse Financial Inc,Financials,"Charlotte, North Carolina",16732
BMY,Bristol-Myers Squibb,Health Care,"New York, New York",927628
AVGO,Broadcom,Information Technology,"San Jose, California",721371
BR,Broadridge Financial Solutions,Information Technology,"Lake Success, New York",1170010
BF-B,Brown-Forman Corp.,Consumer Staples,"Louisville, Kentucky",815097
CHRW,C. H. Robinson Worldwide,Industrials,"Eden Prairie, Minnesota",18230
COG,Cabot Oil & Gas,Energy,"Houston, Texas",1138118
CDNS,Cadence Design Systems,Information Technology,"San Jose, California",813828
CPB,Campbell Soup,Consumer Staples,"Camden, New Jersey",816284
COF,Capital One Financial,Financials,"Tysons Corner, Virginia",1071739
CAH,Cardinal Health,Health Care,"Dublin, Ohio",1130310
KMX,Carmax Inc,Consumer Discretionary,"Richmond, Virginia",18926
CCL,Carnival Corp.,Consumer Discretionary,"Miami, Florida",804753
CAT,Caterpillar Inc.,Industrials,"Peoria, Illinois",1324404
CBOE,Cboe Global Markets,Financials,"Chicago, Illinois",316709
CBRE,CBRE Group,Real Estate,"Los Angeles, California",1091667
CBS,CBS Corp.,Communication Services,"New York, New York",895126
CELG,Celgene Corp.,Health Care,"Summit, New Jersey",93410
CNC,Centene Corporation,Health Care,"St Louis, Missouri",1058090
CNP,CenterPoint Energy,Utilities,"Houston, Texas",896159
CTL,CenturyLink Inc,Communication Services,"Monroe, Louisiana",313927
CERN,Cerner,Health Care,"North Kansas City, Missouri",701221
CF,CF Industries Holdings Inc,Materials,"Deerfield, Illinois",1168054
SCHW,Charles Schwab Corporation,Financials,"San Francisco, California",20286
CHTR,Charter Communications,Communication Services,"Stamford, Connecticut",723254
CVX,Chevron Corp.,Energy,"San Ramon, California",858877
CMG,Chipotle Mexican Grill,Consumer Discretionary,"Denver, Colorado",831001
CB,Chubb Limited,Financials,"Zurich, Switzerland",759944
CHD,Church & Dwight,Consumer Staples,"Ewing, New Jersey",877890
CI,CIGNA Corp.,Health Care,"Bloomfield, Connecticut",1156375
XEC,Cimarex Energy,Energy,"Denver, Colorado",811156
CINF,Cincinnati Financial,Financials,"Fairfield, Ohio",1116132
CTAS,Cintas Corporation,Industrials,"Mason, Ohio",21344
CSCO,Cisco Systems,Information Technology,"San Jose, California",1058290
C,Citigroup Inc.,Financials,"New York, New York",21665
CFG,Citizens Financial Group,Financials,"Providence, Rhode Island",1166691
CTXS,Citrix Systems,Information Technology,"Fort Lauderdale, Florida",28412
CLX,The Clorox Company,Consumer Staples,"Oakland, California",23217
CME,CME Group Inc.,Financials,"Chicago, Illinois",1358071
CMS,CMS Energy,Utilities,"Jackson, Michigan",1163165
KO,Coca-Cola Company,Consumer Staples,"Atlanta, Georgia",1047862
CTSH,Cognizant Technology Solutions,Information Technology,"Teaneck, New Jersey",16918
CL,Colgate-Palmolive,Consumer Staples,"New York, New York",24741
CMCSA,Comcast Corp.,Communication Services,"Philadelphia, Pennsylvania",909832
CMA,Comerica Inc.,Financials,"Dallas, Texas",1024305
CAG,Conagra Brands,Consumer Staples,"Chicago, Illinois",1051470
CXO,Concho Resources,Energy,"Midland, Texas",1646383
COP,ConocoPhillips,Energy,"Houston, Texas",277948
ED,Consolidated Edison,Utilities,"New York, New York",26172
STZ,Constellation Brands,Consumer Staples,"Victor, New York",64803
COO,The Cooper Companies,Health Care,"Pleasanton, California",882184
CPRT,Copart Inc,Industrials,"Dallas, Texas",313616
GLW,Corning Inc.,Information Technology,"Corning, New York",940944
COST,Costco Wholesale Corp.,Consumer Staples,"Issaquah, Washington",927066
COTY,"Coty, Inc",Consumer Staples,"New York, New York",315189
CCI,Crown Castle International Corp.,Real Estate,"Houston, Texas",1521332
CSX,CSX Corp.,Industrials,"Jacksonville, Florida",27904
CMI,Cummins Inc.,Industrials,"Columbus, Indiana",818479
CVS,CVS Health,Health Care,"Woonsocket, Rhode Island",1090012
DHI,D. R. Horton,Consumer Discretionary,"Fort Worth, Texas",1297996
DHR,Danaher Corp.,Health Care,"Washington, D.C.",1393612
DRI,Darden Restaurants,Consumer Discretionary,"Orlando, Florida",1437107
DVA,DaVita,Health Care,"Denver, Colorado",1437107
DE,Deere & Co.,Industrials,"Moline, Illinois",29534
DAL,Delta Air Lines,Industrials,"Atlanta, Georgia",935703
XRAY,Dentsply Sirona,Health Care,"York, Pennsylvania",715957
DVN,Devon Energy,Energy,"Oklahoma City, Oklahoma",29905
DLR,Digital Realty,Real Estate,"San Francisco, California",29915
DFS,Discover Financial Services,Financials,"Riverwoods, Illinois",1418135
DISCA,Discovery Inc.,Communication Services,"Silver Spring, Maryland",936340
DISCK,Discovery Inc.,Communication Services,"Silver Spring, Maryland",30554
DISH,Dish Network,Communication Services,"Meridian, Colorado",1326160
DG,Dollar General,Consumer Discretionary,"Goodlettsville, Tennessee",1115222
DLTR,Dollar Tree,Consumer Discretionary,"Chesapeake, Virginia",1015780
D,Dominion Energy,Utilities,"Richmond, Virginia",915389
DOV,Dover Corp.,Industrials,"Downers Grove, Illinois",1551182
DWDP,DowDuPont,Materials,"Midland, Michigan",1065088
DTE,DTE Energy,Utilities,"Detroit, Michigan",31462
DRE,Duke Realty,Real Estate,"Indianapolis, Indiana",827052
DUK,Duke Energy,Utilities,"Charlotte, North Carolina",1099800
DXC,DXC Technology,Information Technology,"Tysons Corner, Virginia",712515
ETFC,E*Trade,Financials,"New York, New York",32604
EMN,Eastman Chemical,Materials,"Kingsport, Tennessee",1100962
ETN,Eaton Corporation,Industrials,"Dublin, Ireland",65984
EBAY,eBay,Consumer Discretionary,"San Jose, California",895930
ECL,Ecolab,Materials,"St. Paul, Minnesota",821189
EIX,Edison Int'l,Utilities,"Rosemead, California",33213
EW,Edwards Lifesciences,Health Care,"Irvine, California",33185
EA,Electronic Arts,Communication Services,"Redwood City, California",1101239
EMR,Emerson Electric Company,Industrials,"Ferguson, Missouri",906107
ETR,Entergy Corp.,Utilities,"New Orleans, Louisiana",920522
EOG,EOG Resources,Energy,"Houston, Texas",1001250
EFX,Equifax Inc.,Industrials,"Atlanta, Georgia",72741
EQIX,Equinix,Real Estate,"Redwood City, California",1109357
EQR,Equity Residential,Real Estate,"Chicago, Illinois",1324424
ESS,"Essex Property Trust, Inc.",Real Estate,"Palo Alto, California",746515
EL,Estee Lauder Cos.,Consumer Staples,"New York, New York",1532063
EVRG,Evergy,Utilities,"Kansas City, Missouri",1289490
ES,Eversource Energy,Utilities,"Springfield, Massachusetts",34088
RE,Everest Re,Financials,"Hamilton, Bermuda",1048695
EXC,Exelon Corp.,Utilities,"Chicago, Illinois",1326801
EXPE,Expedia Group,Consumer Discretionary,"Bellevue, Washington",815556
EXPD,Expeditors,Industrials,"Seattle, Washington",34903
ESRX,Express Scripts,Health Care,"Cool Valley, Missouri",1048911
EXR,Extra Space Storage,Real Estate,"Salt Lake City, Utah",1136893
XOM,Exxon Mobil Corp.,Energy,"Irving, Texas",35527
FFIV,F5 Networks,Information Technology,"Seattle, Washington",1274494
FB,"Facebook, Inc.",Communication Services,"Menlo Park, California",1031296
FAST,Fastenal Co,Industrials,"Winona, Minnesota",798354
FRT,Federal Realty Investment Trust,Real Estate,"Rockville, Maryland",354908
FDX,FedEx Corporation,Industrials,"Memphis, Tennessee",30625
FIS,Fidelity National Information Services,Information Technology,"Jacksonville, Florida",1124198
FITB,Fifth Third Bancorp,Financials,"Cincinnati, Ohio",37785
FE,FirstEnergy Corp,Utilities,"Akron, Ohio",1135152
FISV,Fiserv Inc,Information Technology,"Brookfield, Wisconsin",850209
FLT,FleetCor Technologies Inc,Information Technology,"Norcross, Georgia",37996
FLIR,FLIR Systems,Information Technology,"Wilsonville, Oregon",1659166
FLS,Flowserve Corporation,Industrials,"Irving, Texas",1519751
FLR,Fluor Corp.,Industrials,"Irving, Texas",38777
FMC,FMC Corporation,Materials,"Philadelphia, Pennsylvania",831259
FL,Foot Locker Inc,Consumer Discretionary,"New York, New York",20520
F,Ford Motor,Consumer Discretionary,"Dearborn, Michigan",39911
FTNT,Fortinet,Information Technology,"Sunnyvale, California",1121788
FTV,Fortive Corp,Industrials,"Everett, Washington",40533
FBHS,Fortune Brands Home & Security,Industrials,"Deerfield, Illinois",40545
BEN,Franklin Resources,Financials,"San Mateo, California",895648
FCX,Freeport-McMoRan Inc.,Materials,"Phoenix, Arizona",40704
GPS,Gap Inc.,Consumer Discretionary,"San Francisco, California",1467858
GRMN,Garmin Ltd.,Consumer Discretionary,"Schaffhausen, Switzerland",40987
IT,Gartner Inc,Information Technology,"Stamford, Connecticut",882095
GD,General Dynamics,Industrials,"Falls Church, Virginia",1123360
GE,General Electric,Industrials,"Boston, Massachusetts",886982
GIS,General Mills,Consumer Staples,"Golden Valley, Minnesota",42582
GM,General Motors,Consumer Discretionary,"Detroit, Michigan",277135
GPC,Genuine Parts,Consumer Discretionary,"Atlanta, Georgia",45012
GILD,Gilead Sciences,Health Care,"Foster City, California",1359841
GPN,Global Payments Inc.,Information Technology,"Atlanta, Georgia",793952
GS,Goldman Sachs Group,Financials,"New York, New York",800459
GT,Goodyear Tire & Rubber,Consumer Discretionary,"Akron, Ohio",202058
GWW,Grainger (W.W.) Inc.,Industrials,"Lake Forest, Illinois",874766
HAL,Halliburton Co.,Energy,"Houston, Texas",46080
HBI,Hanesbrands Inc,Consumer Discretionary,"Winston-Salem, North Carolina",860730
HOG,Harley-Davidson,Consumer Discretionary,"Milwaukee, Wisconsin",765880
HRS,Harris Corporation,Industrials,"Melbourne, Florida",46765
HIG,Hartford Financial Svc.Gp.,Financials,"Hartford, Connecticut",1000228
HAS,Hasbro Inc.,Consumer Discretionary,"Pawtucket, Rhode Island",4447
HCA,HCA Holdings,Health Care,"Nashville, Tennessee",1645590
HCP,HCP Inc.,Real Estate,"Long Beach, California",859737
HP,Helmerich & Payne,Energy,"Tulsa, Oklahoma",354950
HSIC,Henry Schein,Health Care,"Melville, New York",773840
HSY,The Hershey Company,Consumer Staples,"Hershey, Pennsylvania",48465
HES,Hess Corporation,Energy,"New York, New York",1070750
HPE,Hewlett Packard Enterprise,Information Technology,"Palo Alto, California",47217
HLT,Hilton Worldwide,Consumer Discretionary,"Tysons Corner, Virginia",49071
HFC,HollyFrontier Corp,Energy,"Dallas, Texas",49196
HOLX,Hologic,Health Care,"Marlborough, Massachusetts",874716
HD,Home Depot,Consumer Discretionary,"Atlanta, Georgia",49826
HON,Honeywell Int'l Inc.,Industrials,"Morristown, New Jersey",1110803
HRL,Hormel Foods Corp.,Consumer Staples,"Austin, Minnesota",1466258
HST,Host Hotels & Resorts,Real Estate,"Bethesda, Maryland",50863
HPQ,HP Inc.,Information Technology,"Palo Alto, California",1571949
HUM,Humana Inc.,Health Care,"Louisville, Kentucky",51143
HBAN,Huntington Bancshares,Financials,"Columbus, Ohio",51434
HII,Huntington Ingalls Industries,Industrials,"Newport News, Virginia",51644
IDXX,IDEXX Laboratories,Health Care,"Westbrook, Maine",51253
INFO,IHS Markit Ltd.,Industrials,London,896878
ITW,Illinois Tool Works,Industrials,"Glenview, Illinois",1035267
ILMN,Illumina Inc,Health Care,"San Diego, California",914208
IR,Ingersoll-Rand PLC,Industrials,"Dublin, Ireland",1020569
INTC,Intel Corp.,Information Technology,"Santa Clara, California",728535
ICE,Intercontinental Exchange,Financials,"Atlanta, Georgia",52988
